"epk_id","segment","rule_name"
"10000001","молодеж","правило 1"
"10000002","пожилые","правило 2"
"10000003","активные","правило 1"
"10000004","молодеж","правило 2"
"10000005","пожилые","правило 1"
"10000006","активные","правило 2"
"10000007","молодеж","правило 1"
"10000008","пожилые","правило 2"
"10000009","активные","правило 1"
"10000010","молодеж","правило 2"
"10000011","пожилые","правило 1"
"10000012","активные","правило 2"
"10000013","молодеж","правило 1"
"10000014","пожилые","правило 2"
"10000015","активные","правило 1"
"10000016","молодеж","правило 2"
"10000017","пожилые","правило 1"
"10000018","активные","правило 2"
"10000019","молодеж","правило 1"
"10000020","пожилые","правило 2"
